# Generated by scripts/generate_inversions.py (PLAN §5.2 pass 2).
# Sense-keyed: one row per (trigger, sense). See senses.py.
trigger	replacement	hard_word	pos	trigger_sense	block_context	require_context	note
good manners	propriety	propriety	NOUN	correct and polite social behaviour			
brilliant	scintillating	scintillating	ADJ	dazzlingly clever and lively (of talk, wit or performance)	sunlight|light|white|colours|colors|sunshine|career|student|scientist|idea	conversation|wit|talk|performance|dialogue|repartee|company|speech|banter	
sparkling	scintillating	scintillating	ADJ	lively and brilliantly clever (of talk or wit)	water|wine|champagne|drink|juice|cider|clean|eyes|surface|glass	conversation|wit|dialogue|performance|company|humour|humor|banter|form	
shocking	sensational	sensational	ADJ	exciting great public interest and excitement (of news or revelations)	electric|voltage|cruelty|pink|behaviour of the weather	news|headline|headlines|story|stories|claims|revelations|allegations|press|tabloid|tabloids|report|coverage|trial|scandal	
explosive	sensational	sensational	ADJ	causing an outburst of public excitement or scandal	device|bomb|material|charge|gas|blast|detonate|chemical|growth|pace	news|headline|headlines|claims|revelations|allegations|testimony|report|story|evidence	
cultured	sophisticated	sophisticated	ADJ	refined and knowledgeable through education and worldly experience	bacteria|cells|cell|pearls|pearl|yogurt|milk|lab|laboratory|samples|dish		
refined	sophisticated	sophisticated	ADJ	cultured and elegant in taste and manner	sugar|oil|flour|petroleum|carbohydrates|grains|crude|ore|process|processed|further|model|estimate		
worldly	sophisticated	sophisticated	ADJ	experienced and knowledgeable about life and society	goods|possessions|wealth|success|affairs of the church|spiritual		
unrest	strife	strife	NOUN	disturbance and angry disagreement within a society or group			
conflict	strife	strife	NOUN	bitter disagreement or discord within a group, family or nation	interest|interests|scheduling|schedule|resolution|zone|syntax|software|merge	civil|internal|ethnic|sectarian|political|family|religious|factional|domestic|tribal	
infighting	strife	strife	NOUN	bitter quarrelling within an organization or party			
low-key	understated	understated	ADJ	restrained and modest in style or presentation			
subtle	understated	understated	ADJ	restrained and quietly effective in style or presentation	difference|differences|hint|hints|clue|clues|distinction|flavour|flavor|aroma|change|changes|shift|poison|irony	elegance|style|design|look|charm|luxury|glamour|decor|décor|tone|palette|tailoring|makeup	
dishonest	unscrupulous	unscrupulous	ADJ	lacking honesty and fair dealing			
shady	unscrupulous	unscrupulous	ADJ	of doubtful honesty or legality (of people or dealings)	tree|trees|spot|shade|garden|cool|plants|corner|lawn|porch	dealings|businessman|businessmen|dealer|dealers|characters|operators|practices|deals|lawyer|landlord|company|brokers|agents	
crooked	unscrupulous	unscrupulous	ADJ	dishonest and corrupt	teeth|tooth|nose|smile|grin|line|path|spine|frame|picture|hang|road	politician|politicians|cop|cops|dealer|lawyer|businessman|officials|official|deals|banker|landlord	
truthfulness	veracity	veracity	NOUN	the quality of being truthful or conforming to fact			
accuracy	veracity	veracity	NOUN	conformity of a statement or account to the facts	measurement|measurements|forecast|forecasts|prediction|predictions|model|data|precision|gun|shooting|throwing|sensor|clock|translation	claim|claims|statement|statements|account|report|testimony|story|allegations|documents|quotes|confession	
truth	veracity	veracity	NOUN	the factual correctness of a particular statement or claim	tell|told|universal|absolute|seeking|seeker|dare|hurts|god|beauty	claims|claim|statement|statements|account|allegations|testimony|story|report|rumours|rumors	
lively	vivacious	vivacious	ADJ	attractively full of life and energy, said of a person's manner or personality	debate|discussion|market|trade|music|tempo|city|street|interest|step	she|her|girl|woman|personality|hostess|smile|actress	
bubbly	vivacious	vivacious	ADJ	cheerfully animated in personality	water|drink|soda|champagne|bath|texture|dough	personality|she|her|girl|woman|character|charm	
bulky	cumbrous	cumbrous	ADJ	large and awkward to carry, wear or handle	muscle|muscles|build|physique|fibre|fiber|diet		
clunky	cumbrous	cumbrous	ADJ	awkwardly heavy or unwieldy in design or operation			
unwieldy	cumbrous	cumbrous	ADJ	hard to manage because of size or complexity			
indirect	allusive	allusive	ADJ	working by hint and suggestion rather than explicit statement, of language or style	route|flight|lighting|cost|costs|tax|taxes|object|speech act|evidence|discrimination	style|poetry|poem|prose|language|reference|references|writing|imagery|hint|hints	
shrewd	astute	astute	ADJ	showing sharp practical judgement			
smart	astute	astute	ADJ	mentally sharp, showing good judgement	phone|phones|watch|watches|clothes|dress|suit|home|homes|TV|speaker|meter|car|casual|ass|aleck|grid|board		
clever	astute	astute	ADJ	quick to understand and judge situations well	joke|pun|wordplay|trick|gadget|device|design|name|title|clogs		
begin	commence	commence	VERB	start; come into operation			
began	commenced	commence	VERB	started (past tense)			
start	commence	commence	VERB	begin an activity, event or process	engine|car|motor|ignition|key|cold|head|again|over|fresh		
recovering	convalescent	convalescent	ADJ	in the process of getting well after illness or surgery	addict|addiction|alcoholic|alcoholism|economy|market|data|files|debt|costs|losses|stolen	illness|surgery|operation|hospital|patient|patients|ward|wound|injury|fever	
limit	curb	curb	VERB	restrict or hold down the extent of something	speed limit|age limit|time limit|limit of|upper limit|credit limit		
restrain	curb	curb	VERB	hold in check, keep under control	handcuffs|physically|officers wrestled|straps		
rein in	curb	curb	VERB	bring under control, hold back	horse|saddle|rider		
condemn	decry	decry	VERB	express public disapproval of something	building|property|death|prisoner|cell|demolition|unsafe|hell		
condemned	decried	decry	VERB	expressed public disapproval of something (past tense)	building|property|death|prisoner|cell|demolition|unsafe|man|hell		
criticized	decried	decry	VERB	publicly denounced or found fault with	gently|privately|constructively	publicly|openly|statement|critics|campaigners|letter|speech|activists	
coercion	duress	duress	NOUN	use of force or threats to make someone act			
under pressure	under duress	duress	NOUN	acting only because of threats or constraint applied by another	deadline|peer|blood|water|tyre|tire|exam|market|performance|injury	signed|sign|confession|confessed|statement|agreement|contract|threats|threatened|forced|testify	
bring to mind	evoke	evoke	VERB	cause something to be recalled or imagined			
brings to mind	evokes	evoke	VERB	causes something to be recalled or imagined			
conjure up	evoke	evoke	VERB	call an image, memory or feeling into the mind	magician|spell|spirits|demon|trick|wand		
grovel	fawn	fawn	VERB	behave obsequiously to win favour	floor|knees|mud|dirt		
gush over	fawn over	fawn	VERB	praise someone effusively and servilely	water|blood|oil|pipe|wound		
fussing over	fawning over	fawn	VERB	attending to someone with exaggerated flattering attention	details|paperwork|baby|recipe	celebrity|boss|guests|star|visitors|him|her	
worry	fret	fret	VERB	be anxious about something	worry beads		
worrying	fretting	fret	VERB	being anxious (progressive)	trend|sign|development|news|increase|worrying that it is|worryingly		
worries	frets	fret	VERB	is anxious about something (third person verb)	financial worries|money worries|health worries|his worries|her worries|their worries		
slick	glib	glib	ADJ	smoothly fluent in speech but insincere	oil|ice|road|wet|hair|gel|surface|floor|rain	talk|talker|answer|answers|salesman|patter|reply|pitch|spokesman|promises	
smooth	glib	glib	ADJ	suavely fluent and plausible but insincere, of speech or a speaker	texture|skin|surface|road|ride|sauce|finish|paste|muscle|transition|sailing	talker|talking|tongue|operator|answer|answers|patter|salesman|charm	
superficial	glib	glib	ADJ	shallow, lacking depth of thought	wound|wounds|cut|layer|skin|tissue|vein|burns	answer|answers|analysis|explanation|reading|understanding|remark|comment|treatment of	
stubborn	headstrong	headstrong	ADJ	determined to have one's own way, of a person	stain|stains|weeds|dirt|fat|belly|grease|mule|cough|rust|inflation|unemployment		
strong-willed	headstrong	headstrong	ADJ	determined to do as one wants			
wilful	headstrong	headstrong	ADJ	insistent on having one's own way	neglect|damage|blindness|misconduct|default|murder		
occasional	intermittent	intermittent	ADJ	happening now and then rather than continuously	table|tables|occasional visitor|guest|cigarette|drink|glass of wine	rain|showers|noise|pain|power|signal|outages|bursts|flashes|gusts|fever|supply|connection|problems|faults	
occasionally	intermittently	intermittent	ADV	at irregular intervals, not continuously		works|working|operated|operating|fails|flashed|erupted|rained|functioned|available	
periodic	intermittent	intermittent	ADJ	occurring at intervals rather than steadily	table|periodic table|element|elements|chemistry		
deadly	virulent	virulent	ADJ	of a disease or pathogen: extremely severe and harmful in its effects	weapon|weapons|gun|knife|poison|snake|venom|accident|crash|force|sin|sins|serious|dull|boring	disease|virus|viral|strain|infection|infectious|bacteria|bacterial|pathogen|epidemic|pandemic|outbreak|plague|flu|fungus	
hostile	virulent	virulent	ADJ	bitterly antagonistic in words or attitude	takeover|bid|territory|environment|terrain|conditions|weather|fire|army|forces|aircraft|airspace		
bitter	virulent	virulent	ADJ	full of angry hostility, said of attacks, criticism, or opposition	taste|tastes|tasted|flavour|flavor|chocolate|almond|almonds|lemon|sweet|sour|coffee|beer|cold|wind|winter|frost|end|pill|herbs	attack|attacks|criticism|opposition|hostility|denunciation|rhetoric|hatred|campaign|invective	
unstable	volatile	volatile	ADJ	liable to sudden unpredictable change (situation, market, temperament)	ladder|chair|table|structure|foundation|shelf|isotope|nuclide|orbit|knee|ankle|joint|wall		
unpredictable	volatile	volatile	ADJ	changing rapidly and without warning	plot|ending|twist|results|random|lottery		
changeable	volatile	volatile	ADJ	apt to change quickly and erratically	setting|settings|password|option|variable|editable		
predates	antedates	antedate	VERB	exists or existed at an earlier date than	predator|prey|hunts		
predate	antedate	antedate	VERB	exist or occur at an earlier date than	predator|predators|prey|hunt|hunting|feed		
precedes	antedates	antedate	VERB	comes before in time or date	chapter|paragraph|sentence|letter|vowel|consonant|list|column|procession|queue	century|year|years|era|period|date|decade|age|invention|ancient|medieval|earlier	
exiled	banished	banish	VERB	sent away from a country or place as a punishment			
expelled	banished	banish	VERB	forced to leave a place or community as punishment	air|gas|breath|lungs|bullet|cartridge|semen|fluid	country|kingdom|city|village|court|community|land|territory|island|tribe|empire	
drive out	banish	banish	VERB	get rid of, force away (thoughts, fears, people)	car|truck|highway|garage|driveway|road|traffic		
bristled	bridled	bridle	VERB	reacted with visible indignation or anger	hair|hairs|fur|brush|beard|mustache|boar|porcupine|spines|toothbrush|horse|saddle|reins		
bristle	bridle	bridle	VERB	react angrily or indignantly	hair|fur|brush|beard|boar|spines|toothbrush|horse|saddle|reins|bristles	suggestion|criticism|remark|comment|accusation|insult|idea|word|words	
took offence	bridled	bridle	VERB	reacted with resentment at a remark	horse|saddle|reins		
abide by	comply with	comply	VERB	act in accordance with a rule, order, or decision			
go along with	comply with	comply	VERB	agree to do what is asked or demanded	walk|walked|street|road|river|path	request|demand|order|orders|instructions|wishes|plan|scheme|demands	
cooperate	comply	comply	VERB	do as one is asked by an authority	partnership|jointly|collaborate|project|research|allies|together	police|officers|refused|investigation|authorities|order|orders|demands|inspectors	
dejected	crestfallen	crestfallen	ADJ	sad and dispirited after a disappointment			
downcast	crestfallen	crestfallen	ADJ	feeling despondent and disappointed	eyes|gaze|glance|look|lashes|lids		
disappointed	crestfallen	crestfallen	ADJ	visibly sad because hopes were not fulfilled	sales|results|figures|earnings|performance|market|investors|reviews|critics	looked|seemed|appeared|face|he|she|boy|girl|child|team|expression	
cut back	curtail	curtail	VERB	reduce the amount or extent of an activity or spending	hedge|branches|shrub|tree|hair|lawn|roses|pruning		
cut short	curtail	curtail	VERB	bring to an end earlier than planned	hair|haircut|scissors|fringe|bangs		
reduce	curtail	curtail	VERB	cut back the scope, extent, or duration of something	sauce|heat|simmer|pan|liquid|fraction|equation|recipe|stock|weight|price|prices|temperature|calories	rights|freedoms|powers|spending|services|activities|hours|access|operations|programme|program|liberties|travel	
